iter	RMSE
686	0.2448120984
687	0.2447457922
688	0.2446594412
689	0.2445873758
690	0.2445026112
691	0.2444304067
692	0.2443066109
693	0.2441866707
694	0.2440351252
695	0.2439564548
696	0.2438962558
697	0.2438146936
698	0.2437071485
699	0.243595985
700	0.2435254614
701	0.243402968
702	0.2432397219
703	0.243185086
704	0.2431240209
705	0.2430388873
706	0.2429189052
707	0.2427745678
708	0.2426891355
709	0.2426129296
710	0.2425542494
711	0.2424934564
712	0.2424289344
713	0.242361446
714	0.24227163
715	0.242176104
716	0.2420755946
717	0.2419378965
718	0.2418792725
719	0.2417969028
720	0.2417336669
721	0.2416777186
722	0.2416246068
723	0.2414217696
724	0.2413892361
725	0.2412970434
726	0.2412239406
727	0.2411136944
728	0.2410594511
729	0.2409495065
730	0.2408161415
731	0.2407447727
732	0.2406614161
733	0.2405346293
734	0.2404262552
735	0.2403608302
736	0.2403103843
737	0.2402423255
738	0.2401567954
739	0.2400843887
740	0.2399883079
741	0.239932146
742	0.2397993084
743	0.2397045949
744	0.2396348331
745	0.2395723
746	0.2394455842
747	0.2393629696
748	0.2392087853
749	0.2390437123
750	0.2389836594
751	0.238910916
752	0.2388533995
753	0.2387478218
754	0.2386450185
755	0.2386003662
756	0.2385283718
757	0.2384375128
758	0.2382551012
759	0.2382090156
760	0.2380781683
761	0.2380103414
762	0.2379591894
763	0.2378974407
764	0.2378272653
765	0.2376816124
766	0.2376028464
767	0.2374746712
768	0.2373317535
769	0.2372422398
770	0.2371829823
771	0.2369944323
772	0.2368986755
773	0.2368168761
774	0.2367420124
775	0.2366947546
776	0.2365859226
777	0.2365531448
778	0.2364821722
779	0.2363705118
780	0.2362309919
781	0.2361185115
782	0.2360504717
783	0.235976953
784	0.2358969313
785	0.2357668166
786	0.2356734363
787	0.2356098642
788	0.2355627735
789	0.23552424
790	0.2354733881
791	0.2354106926
792	0.2353542078
793	0.2352854588
794	0.2352392543
795	0.2351108974
796	0.2350499107
797	0.2348789723
798	0.2348259224
799	0.2347655539
800	0.2346472765
801	0.2345668559
802	0.2345081993
803	0.2344670215
804	0.2343787796
805	0.234318169
806	0.2342370171
807	0.2341440309
808	0.2341032951
809	0.2340505164
810	0.233980291
811	0.2339261409
812	0.2338794387
813	0.2338256818
814	0.2337591411
815	0.2337029196
816	0.2335934142
817	0.2335354888
818	0.2334816669
819	0.2334349011
820	0.2333392037
821	0.2332539304
822	0.2331712381
823	0.233090797
824	0.2330416291
825	0.2329708714
826	0.2329020683
827	0.2328561221
828	0.2327913943
829	0.2327639561
830	0.2326529342
831	0.2325644053
832	0.2325087523
833	0.2324620275
834	0.232371068
835	0.2322690226
836	0.2321944705
837	0.232073907
838	0.2320243914
839	0.2319252882
840	0.231862291
841	0.2317724966
842	0.2317215364
843	0.2316787227
844	0.2315939263
845	0.2315442271
846	0.231491712
847	0.2314470009
848	0.2314006065
849	0.2313460438
850	0.2312906952
851	0.2311721293
852	0.2311014982
853	0.231071577
854	0.2310266399
855	0.2309576928
856	0.2309146462
857	0.2308274334
858	0.2307521869
859	0.2306702089
860	0.230589711
861	0.2304908323
862	0.2304192714
863	0.2303742519
864	0.2303100583
865	0.2301862036
866	0.230114489
867	0.2300647671
868	0.2299964433
869	0.2298894246
870	0.2297870958
871	0.2297323697
872	0.2296903788
873	0.229609153
874	0.2295305482
875	0.2294344024
876	0.2293434063
877	0.2293059021
878	0.2292534872
879	0.2291817378
880	0.2291379641
881	0.2290443424
882	0.2289189856
883	0.2288778447
884	0.2287063814
885	0.2286609531
886	0.2285152525
887	0.228440198
888	0.2283635652
