iter	Passed	Remaining
879	12852	1752
880	12863	1737
881	12877	1722
882	12890	1707
883	12902	1693
884	12919	1678
885	12931	1663
886	12946	1649
887	12958	1634
888	12971	1619
889	12985	1604
890	12997	1590
891	13012	1575
892	13021	1560
893	13033	1545
894	13047	1530
895	13058	1515
896	13070	1500
897	13083	1486
898	13095	1471
899	13110	1456
900	13129	1442
901	13143	1427
902	13159	1413
903	13176	1399
904	13190	1384
905	13204	1370
906	13219	1355
907	13240	1341
908	13254	1326
909	13270	1312
910	13287	1298
911	13302	1283
912	13316	1268
913	13331	1254
914	13344	1239
915	13355	1224
916	13366	1209
917	13377	1194
918	13388	1180
919	13399	1165
920	13412	1150
921	13426	1135
922	13438	1121
923	13452	1106
924	13464	1091
925	13476	1076
926	13490	1062
927	13505	1047
928	13518	1033
929	13531	1018
930	13542	1003
931	13554	988
932	13566	974
933	13578	959
934	13588	944
935	13600	929
936	13612	915
937	13626	900
938	13640	886
939	13652	871
940	13669	857
941	13682	842
942	13700	828
943	13712	813
944	13727	798
945	13745	784
946	13758	770
947	13773	755
948	13791	741
949	13804	726
950	13819	712
951	13833	697
952	13850	683
953	13866	668
954	13885	654
955	13899	639
956	13916	625
957	13934	610
958	13951	596
959	13963	581
960	13976	567
961	13989	552
962	13999	537
963	14011	523
964	14025	508
965	14042	494
966	14061	479
967	14091	465
968	14107	451
969	14138	437
970	14154	422
971	14182	408
972	14198	393
973	14212	379
974	14237	365
975	14251	350
976	14264	335
977	14278	321
978	14290	306
979	14301	291
980	14314	277
981	14326	262
982	14339	247
983	14351	233
984	14366	218
985	14381	204
986	14399	189
987	14414	175
988	14430	160
989	14441	145
990	14456	131
991	14469	116
992	14483	102
993	14496	87
994	14508	72
995	14520	58
996	14531	43
997	14543	29
998	14557	14
999	14567	0
